Ticker Symbol,Company Name,Last Price,7D Return,1Y Return,Market Cap,Analysts Target,Valuation,Growth,Div Yield,Industry
KFP.N0000,Keells Food Products,LK₨160.25,0,-0.032,LK₨4.1b,LK₨195.00,PB2.2x,n/a,0%,"Food, Beverage & Tobacco"
JKL.N0000,John Keells,LK₨67.00,-0.02,-0.016,LK₨4.1b,n/a,PE27x,n/a,4.30%,Retail
LCEY.N0000,Lankem Ceylon,LK₨78.80,-0.033,-0.065,LK₨4.1b,n/a,PE20.7x,n/a,12.70%,Capital Goods
CLND.N0000,Colombo Land and Development,LK₨19.50,-0.025,0.01,LK₨3.9b,n/a,PE10.9x,n/a,n/a,Real Estate Management and Development
CARE.N0000,Printcare,LK₨43.40,-0.014,-0.189,LK₨3.7b,n/a,PE13.1x,n/a,4.60%,Commercial Services
AGPL.N0000,Agarapatana Plantations,LK₨7.40,-0.026,n/a,LK₨3.7b,n/a,PE6.6x,n/a,n/a,"Food, Beverage & Tobacco"
AGST.N0000,AgStar,LK₨7.50,0,-31.80%,LK₨3.7b,n/a,PE22.1x,n/a,0%,Materials
LPL.N0000,LAUGFS Power,LK₨9.70,-0.03,1.00%,LK₨3.6b,n/a,PE72.2x,n/a,0%,Utilities
DPL.N0000,Dankotuwa Porcelain,LK₨22.00,-0.013,-17.00%,LK₨3.6b,n/a,PE9.7x,n/a,0%,Consumer Durables
ODEL.N0000,Odel,LK₨12.90,0,-22.30%,LK₨3.5b,n/a,PE-1x,n/a,0%,Retail
HBS.N0000,hSenid Business Solutions,LK₨12.50,-0.016,-7.40%,LK₨3.5b,LK₨16.00,PS2.1x,S20.4%,2.80%,Software
ALLI.N0000,Alliance Finance,LK₨100.00,0,12.60%,LK₨3.4b,n/a,PE3.5x,n/a,8.40%,Diversified Financials
CWM.N0000,C. W. Mackie,LK₨93.60,-0.026,-18.40%,LK₨3.4b,n/a,PE8.1x,n/a,8.50%,Retail
DOCK.N0000,Colombo Dockyard,LK₨46.00,-0.023,-27.60%,LK₨3.3b,n/a,PB1.1x,n/a,0%,Capital Goods
CHOT.N0000,Ceylon Hotels,LK₨18.30,-0.042,-12.40%,LK₨3.3b,n/a,PS2.4x,n/a,n/a,Consumer Services
SFIN.N0000,Singer Finance (Lanka),LK₨16.00,-0.018,8.10%,LK₨3.2b,n/a,PE7.9x,n/a,5.00%,Diversified Financials
HUNT.N0000,Hunter,LK₨619.75,0.003,-9.10%,LK₨3.2b,n/a,PB0.3x,n/a,0.80%,Retail
BOPL.N0000,Bogawantalawa Tea Estates,LK₨37.20,0.011,-27.80%,LK₨3.1b,n/a,PE5.9x,n/a,4.00%,"Food, Beverage & Tobacco"
REEF.N0000,Citrus Leisure,LK₨4.50,-0.022,-35.70%,LK₨2.9b,n/a,PS1.3x,n/a,n/a,Consumer Services
BFL.N0000,Bairaha Farms,LK₨165.00,-0.022,7.50%,LK₨2.9b,n/a,PE6.7x,n/a,3.00%,"Food, Beverage & Tobacco"
ASHO.N0000,Lanka Ashok Leyland,LK₨799.50,0.004,0.30%,LK₨2.9b,n/a,PE3.4x,n/a,1.90%,Capital Goods
PARQ.N0000,Swisstek (Ceylon),LK₨20.90,0.045,16.10%,LK₨2.9b,n/a,PB1.2x,n/a,3.80%,Materials
KGAL.N0000,Kegalle Plantations,LK₨111.75,-0.002,-16.40%,LK₨2.8b,n/a,PB0.6x,n/a,3.10%,"Food, Beverage & Tobacco"
MBSL.N0000,Merchant Bank of Sri Lanka & Finance,LK₨5.20,-0.055,-1.90%,LK₨2.7b,n/a,PE19.4x,n/a,0%,Diversified Financials
CIND.N0000,Central Industries,LK₨112.50,0,10.30%,LK₨2.7b,n/a,PE4.2x,n/a,5.30%,Capital Goods
RHTL.N0000,Fortress Resorts,LK₨24.00,0.034,25.70%,LK₨2.7b,LK₨30.00,PE12.5x,S10.6%,0%,Consumer Services
LVEF.N0000,LVL Energy Fund,LK₨4.50,0.023,-30.80%,LK₨2.6b,n/a,PE9.9x,n/a,0%,Utilities
TAJ.N0000,TAL Lanka Hotels,LK₨18.20,0.011,-11.20%,LK₨2.5b,n/a,PE-11.8x,n/a,n/a,Consumer Services
PAP.N0000,Panasian Power,LK₨4.00,0,14.30%,LK₨2.5b,n/a,PE34.7x,n/a,5.00%,Utilities
RENU.N0000,Renuka City Hotels,LK₨350.00,-0.028,-0.086,LK₨2.5b,n/a,PS12x,n/a,0.60%,Consumer Services
AMF.N0000,Associated Motor Finance,LK₨21.60,-0.018,1.057,LK₨2.4b,n/a,PE6.9x,n/a,0%,Diversified Financials
RHL.N0000,Renuka Holdings,LK₨13.10,-0.03,-0.186,LK₨2.4b,n/a,PB0.3x,n/a,0%,Capital Goods
ATL.N0000,Amãna Takaful,LK₨11.50,0.036,-0.034,LK₨2.3b,n/a,PE11.3x,n/a,n/a,Insurance
SOY.N0000,Convenience Foods (Lanka),LK₨850.00,0.007,-0.177,LK₨2.3b,n/a,PE9.6x,n/a,0.60%,"Food, Beverage & Tobacco"
CITH.N0000,Hikkaduwa Beach Resort,LK₨4.30,0.049,-0.173,LK₨2.3b,n/a,PS1.4x,n/a,0%,Consumer Services
KZOO.N0000,Ceylon Land & Equity,LK₨7.70,0.055,-0.128,LK₨2.3b,n/a,PE6.9x,n/a,0%,Diversified Financials
SHAW.N0000,Lee Hedges,LK₨88.90,0,0.114,LK₨2.3b,n/a,PE12x,n/a,1.10%,Real Estate Management and Development
CSD.N0000,Seylan Developments,LK₨16.20,-0.024,0.2,LK₨2.3b,n/a,PE6.6x,n/a,6.20%,Real Estate Management and Development
ONAL.N0000,On'ally Holdings,LK₨24.30,0.013,-0.187,LK₨2.3b,n/a,PE4.5x,n/a,8.20%,Real Estate Management and Development
ASCO.N0000,Lanka Realty Investments,LK₨10.60,-0.028,-0.191,LK₨2.2b,n/a,PE12.4x,n/a,n/a,Real Estate Management and Development
SWAD.N0000,Swadeshi Industrial Works,"LK₨15,003.50",0,0,LK₨2.2b,n/a,PE13.1x,n/a,0.01%,Household
COCO.N0000,Renuka Foods,LK₨11.90,-0.008,-0.457,LK₨2.2b,n/a,PB0.5x,n/a,3.40%,"Food, Beverage & Tobacco"
STAF.N0000,Dolphin Hotels,LK₨34.80,-0.041,0.088,LK₨2.2b,LK₨50.00,PE6.9x,S21.3%,0%,Consumer Services
BALA.N0000,Balangoda Plantations,LK₨45.30,-0.046,-0.361,LK₨2.1b,n/a,PE8.9x,n/a,0%,"Food, Beverage & Tobacco"
CONN.N0000,Hayleys Leisure,LK₨19.50,-0.015,-0.156,LK₨2.1b,LK₨30.00,PB1.6x,S29.8%,0%,Consumer Services
CSF.N0000,Nation Lanka Finance,LK₨0.30,0,-0.4,LK₨2.1b,n/a,PS9.3x,n/a,n/a,Diversified Financials
HDFC.N0000,Housing Development Finance Corporation Bank of Sri Lanka,LK₨32.10,0,-0.093,LK₨2.1b,n/a,PE1.3x,n/a,0%,Diversified Financials
CITW.N0000,Waskaduwa Beach Resort,LK₨2.20,0,-0.267,LK₨2.1b,n/a,PS1.9x,n/a,n/a,Consumer Services
PMB.N0000,People's Merchant Finance,LK₨5.00,0.042,-0.074,LK₨2.0b,n/a,PE19.7x,n/a,n/a,Diversified Financials
SDF.N0000,Sarvodaya Development Finance,LK₨13.40,-0.007,0.081,LK₨2.0b,n/a,PE8x,n/a,5.60%,Diversified Financials
GSF.N0000,Prime Finance,LK₨19.70,0,0.615,LK₨2.4b,n/a,PE17.4x,n/a,n/a,Diversified Financials
KOTA.N0000,Kotagala Plantations,LK₨5.80,0,-0.266,LK₨2.0b,n/a,PB1.3x,n/a,0%,"Food, Beverage & Tobacco"
CTLD.N0000,CT Land Development,LK₨24.10,0.004,-0.036,LK₨2.0b,n/a,PE2.7x,n/a,0%,Real Estate Management and Development
RWSL.N0000,Raigam Wayamba Salterns,LK₨6.90,0,-10.40%,LK₨1.9b,n/a,PE7.1x,n/a,2.90%,"Food, Beverage & Tobacco"
LHL.N0000,Lighthouse Hotel,LK₨42.20,0.005,46.00%,LK₨1.9b,LK₨55.00,PE11x,S13.2%,7.10%,Consumer Services
RAL.N0000,Renuka Agri Foods,LK₨3.40,0.03,-36.00%,LK₨1.9b,n/a,PB0.6x,n/a,0%,"Food, Beverage & Tobacco"
HPWR.N0000,Resus Energy,LK₨22.50,-0.009,45.20%,LK₨1.9b,n/a,PE5.2x,n/a,11.10%,Utilities
UBF.N0000,UB Finance,LK₨0.60,-0.143,n/a,LK₨1.9b,n/a,PE1295.4x,n/a,n/a,Diversified Financials
LUMX.N0000,Luminex,LK₨7.00,0.029,-1.40%,LK₨1.9b,n/a,PE47.3x,n/a,3.60%,Capital Goods
LDEV.N0000,Lankem Developments,LK₨15.40,-0.013,-45.40%,LK₨1.8b,n/a,PE8.1x,n/a,n/a,"Food, Beverage & Tobacco"
BERU.N0000,Beruwala Resorts,LK₨2.60,0,85.70%,LK₨1.8b,n/a,PE22.1x,n/a,0%,Consumer Services
APLA.N0000,ACL Plastics,LK₨425.50,0.008,7.00%,LK₨1.8b,n/a,PE4.2x,n/a,3.50%,Materials
BBH.N0000,Browns Beach Hotels,LK₨13.80,-0.014,-9.80%,LK₨1.8b,n/a,PS1.4x,n/a,n/a,Consumer Services
KAHA.N0000,Kahawatte Plantations,LK₨17.70,0.023,-21.70%,LK₨1.8b,n/a,PB1.7x,n/a,0%,"Food, Beverage & Tobacco"
BFN.N0000,Orient Finance,LK₨8.30,-0.024,10.70%,LK₨1.8b,n/a,PE5x,n/a,0%,Diversified Financials
LCBF.N0000,Lanka Credit and Business Finance,LK₨2.20,0,-15.40%,LK₨1.7b,n/a,PE14.9x,n/a,n/a,Diversified Financials
MADU.N0000,Madulsima Plantations,LK₨9.90,0.031,-16.10%,LK₨1.7b,n/a,PB4.5x,n/a,n/a,"Food, Beverage & Tobacco"
AAF.N0000,Asia Asset Finance,LK₨13.20,-0.015,-2.20%,LK₨1.6b,n/a,PE4.8x,n/a,0%,Diversified Financials
ECL.N0000,eChannelling,LK₨13.30,-0.007,-16.90%,LK₨1.6b,n/a,PE36x,n/a,0%,Healthcare
MASK.N0000,Maskeliya Plantations,LK₨30.00,0,-24.60%,LK₨1.6b,n/a,PE3.5x,n/a,n/a,"Food, Beverage & Tobacco"
LALU.N0000,Lanka Aluminium Industries,LK₨23.20,-0.017,31.10%,LK₨1.6b,n/a,PE7.4x,n/a,0%,Materials
LVEN.N0000,Lanka Ventures,LK₨27.00,-0.036,-33.20%,LK₨1.6b,n/a,PE9.5x,n/a,0%,Diversified Financials
AFSL.N0000,Abans Finance,LK₨20.70,-0.005,-17.90%,LK₨1.5b,n/a,PE14.6x,n/a,0%,Diversified Financials
HAPU.N0000,Hapugastenne Plantations,LK₨32.40,0.042,-31.50%,LK₨1.5b,n/a,PE17.7x,n/a,n/a,"Food, Beverage & Tobacco"
RPBH.N0000,Royal Palms Beach Hotels,LK₨29.80,0.035,1.40%,LK₨1.5b,LK₨45.00,PE8.8x,S26.4%,0%,Consumer Services
EAST.N0000,East West Properties,LK₨10.60,0.01,20.50%,LK₨1.5b,n/a,PE18.2x,n/a,n/a,Real Estate Management and Development
MARA.N0000,Marawila Resorts,LK₨4.10,-0.024,64.00%,LK₨1.4b,n/a,PE16.7x,n/a,n/a,Consumer Services
UDPL.N0000,Udapussellawa Plantations,LK₨73.20,-0.054,-0.249,LK₨1.4b,n/a,PE1.8x,n/a,n/a,"Food, Beverage & Tobacco"
COMD.N0000,Commercial Development,LK₨115.50,-0.006,-0.004,LK₨1.4b,n/a,PE4.6x,n/a,6.10%,Real Estate Management and Development
COLO.N0000,C M Holdings,LK₨90.00,-0.023,0.121,LK₨1.4b,n/a,PE5.6x,n/a,5.60%,Retail
AINS.N0000,Arpico Insurance,LK₨20.20,-0.082,-0.069,LK₨1.3b,n/a,PB0.9x,n/a,0%,Insurance
SMOT.N0000,Sathosa Motors,LK₨220.25,-0.111,0.284,LK₨1.3b,n/a,PE12.2x,n/a,0%,Retail
TANG.N0000,Tangerine Beach Hotels,LK₨63.90,-0.002,0.069,LK₨1.3b,n/a,PE16.4x,n/a,0%,Consumer Services
CHMX.N0000,Chemanex,LK₨80.30,-0.055,-0.116,LK₨1.3b,n/a,PE11.3x,n/a,3.10%,Materials
TSML.N0000,Tea Smallholder Factories,LK₨41.70,0.022,-0.144,LK₨1.3b,n/a,PE200.8x,n/a,0%,"Food, Beverage & Tobacco"
HEXP.N0000,Hayleys Fibre,LK₨52.00,-0.002,-0.172,LK₨1.2b,n/a,PB0.9x,n/a,0%,Consumer Durables
HPFL.N0000,Lotus Hydro Power,LK₨11.30,0.018,0.413,LK₨1.2b,n/a,PE18.7x,n/a,24.80%,Utilities
AUTO.N0000,Autodrome,LK₨101.25,-0.002,-0.114,LK₨1.2b,n/a,PE57.1x,n/a,0%,Retail
ATLL.N0000,Amãna Takaful Life,LK₨24.20,-0.062,-0.217,LK₨1.2b,n/a,PE29.3x,n/a,0%,Insurance
PHAR.N0000,Colombo City Holdings,LK₨47.10,-0.002,-0.06,LK₨1.2b,n/a,PE2.8x,n/a,0%,Real Estate Management and Development
ETWO.N0000,Equity Two,LK₨38.10,-0.018,-0.052,LK₨1.2b,n/a,PE5x,n/a,2.60%,Real Estate Management and Development
ASPH.N0000,Industrial Asphalts (Ceylon),LK₨0.30,0,0,LK₨1.1b,n/a,PE60.5x,n/a,0%,Diversified Financials
LITE.N0000,Laxapana,LK₨16.90,0.043,0.127,LK₨1.1b,n/a,PE4.8x,n/a,17.80%,Capital Goods
ASIY.N0000,Asia Siyaka Commodities,LK₨4.30,0,-0.044,LK₨1.1b,n/a,PE5.3x,n/a,10.50%,Diversified Financials
KPHL.N0000,Kapruka Holdings,LK₨6.80,-0.029,-0.227,LK₨1.1b,n/a,PB1.2x,n/a,n/a,Retail
ABAN.N0000,Abans Electricals,LK₨217.25,0.035,0.354,LK₨1.1b,n/a,PE2.3x,n/a,2.30%,Consumer Durables
PEG.N0000,Pegasus Hotels of Ceylon,LK₨26.00,-0.041,-0.103,LK₨1.1b,n/a,PS1.2x,n/a,0%,Consumer Services
CABO.N0000,Cargo Boat Development,LK₨57.50,0,0,LK₨1.0b,n/a,PE7.5x,n/a,1.70%,Real Estate Management and Development
UCAR.N0000,Union Chemicals Lanka,LK₨674.50,0,0.014,LK₨1.0b,n/a,PE4.4x,n/a,8.00%,Materials
SINH.N0000,Singhe Hospitals,LK₨2.30,0.045,-0.08,LK₨992.0m,n/a,PB1.2x,n/a,n/a,Healthcare
